#Sent triggers per gain and bias: 50000	and with a frequency [Hz] of: 100000
#Gain	bias	Frequency	correct transmitted H+T		error rate [%]	uncertainty [%]	bad or missed events	error count	missing headers	missing trailers	flipped H/T	event nr errors	tbm missed trigger	unknown errors	event nr resets
3	40	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
3	40	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
3	40	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
3	39	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
3	39	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
3	39	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
3	38	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
3	38	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
3	38	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
3	37	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
3	37	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
3	37	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
3	36	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
3	36	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
3	36	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
3	35	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
3	35	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
3	35	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
3	34	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
3	34	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
3	34	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
3	33	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
3	33	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
3	33	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
3	32	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
3	32	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
3	32	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
3	31	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
3	31	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
3	31	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
3	30	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
3	30	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
3	30	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
3	29	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
3	29	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
3	29	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
3	28	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
3	28	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
3	28	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
3	27	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
