#the gain was set to: 2	the bias was set to: 30
#Sent triggers per delay setting: 186a0	and with a frequency [Hz] of: 40000
#160MHz delay setting	400MHz delay setting	Frequency	correct transmitted H+T		error rate [%]	uncertainty [%]	bad or missed events	error count	missing headers	missing trailers	flipped H/T	event nr errors	tbm missed trigger	unknown errors	event nr resets
0	0	G	40000	0	100	99.999	100000	2	0	0	0	0	0	2	0
0	0	A	40000	0	100	99.999	100000	1	0	0	0	0	0	1	0
0	0	B	40000	0	100	99.999	100000	1	0	0	0	0	0	1	0
0	1	G	40000	56	99.944	99.943	99944	1	0	0	0	0	0	1	3
0	1	A	40000	56	99.944	99.943	99944	1	0	0	0	0	0	1	2
0	1	B	40000	57	99.943	99.943	99943	0	0	0	0	0	0	0	1
0	2	G	40000	54	99.946	99.942	99946	4	0	0	0	0	0	4	6
0	2	A	40000	57	99.943	99.942	99943	1	0	0	0	0	0	1	2
0	2	B	40000	55	99.945	99.942	99945	3	0	0	0	0	0	3	4
0	3	G	40000	26	99.974	99.943	99974	33	0	0	0	1	0	32	30
0	3	A	40000	28	99.972	99.943	99972	29	0	0	0	0	0	29	28
0	3	B	40000	53	99.947	99.943	99947	4	0	0	0	1	0	3	2
0	4	G	40000	0	100	99.998	100000	4	0	0	0	0	0	4	0
0	4	A	40000	0	100	99.998	100000	2	0	0	0	0	0	2	0
0	4	B	40000	0	100	99.998	100000	2	0	0	0	0	0	2	0
0	5	G	40000	54	99.946	99.942	99946	4	0	0	0	0	0	4	5
0	5	A	40000	56	99.944	99.942	99944	2	0	0	0	0	0	2	2
0	5	B	40000	56	99.944	99.942	99944	2	0	0	0	0	0	2	3
0	6	G	40000	58	99.942	99.942	99942	0	0	0	0	0	0	0	2
0	6	A	40000	58	99.942	99.942	99942	0	0	0	0	0	0	0	1
0	6	B	40000	58	99.942	99.942	99942	0	0	0	0	0	0	0	1
0	7	G	40000	49	99.951	99.941	99951	10	0	0	0	0	0	10	11
0	7	A	40000	51	99.949	99.941	99949	8	0	0	0	0	0	8	8
0	7	B	40000	57	99.943	99.941	99943	2	0	0	0	0	0	2	3
1	0	G	40000	0	100	99.9715	100000	1	0	0	0	0	0	1	2
1	0	A	40000	0	100	100	100000	0	0	0	0	0	0	0	0
1	0	B	40000	56	99.944	99.943	99944	1	0	0	0	0	0	1	2
1	1	G	40000	46	99.954	99.943	99954	11	0	0	0	0	0	11	13
1	1	A	40000	46	99.954	99.943	99954	11	0	0	0	0	0	11	12
1	1	B	40000	57	99.943	99.943	99943	0	0	0	0	0	0	0	1
1	2	G	40000	0	100	99.98	100000	40	0	0	0	0	0	40	0
1	2	A	40000	0	100	99.978	100000	22	0	0	0	0	0	22	0
1	2	B	40000	0	100	99.982	100000	18	0	0	0	0	0	18	0
1	2	cSpy was 2 spamed and the readout avoided!
1	3	G	40000	30	99.97	99.9475	99970	32	0	0	0	9	0	23	14
1	3	A	40000	30	99.97	99.947	99970	23	0	0	0	0	0	23	5
1	3	B	40000	43	99.957	99.948	99957	9	0	0	0	9	0	0	9
1	4	G	40000	57	99.943	99.942	99943	1	0	0	0	0	0	1	3
1	4	A	40000	57	99.943	99.942	99943	1	0	0	0	0	0	1	2
1	4	B	40000	58	99.942	99.942	99942	0	0	0	0	0	0	0	1
1	5	G	40000	36	99.964	99.9435	99964	20	0	0	0	1	0	19	21
1	5	A	40000	36	99.964	99.944	99964	20	0	0	0	1	0	19	20
1	5	B	40000	57	99.943	99.943	99943	0	0	0	0	0	0	0	1
