#the gain was set to: 2	the bias was set to: 30
#Sent triggers per delay setting: 10000	and with a frequency [Hz] of: 40000
#160MHz delay setting	400MHz delay setting	Frequency	correct transmitted H+T		error rate [%]	uncertainty [%]	bad or missed events	error count	missing headers	missing trailers	flipped H/T	event nr errors	tbm missed trigger	unknown errors	event nr resets
0	0	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
0	0	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
0	0	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
0	1	G	40000	0	100	100	10000	20000	20000	20000	20000	20000	20000	20000	20002
0	1	A	40000	0	100	100	10000	10000	10000	10000	10000	10000	10000	10000	10001
0	1	B	40000	0	100	100	10000	10000	10000	10000	10000	10000	10000	10000	10001
0	2	G	40000	4	99.96	98.365	9996	183	11	10	0	71	48	43	144
0	2	A	40000	16	99.84	99.63	9984	21	0	0	0	12	0	9	16
0	2	B	40000	128	98.72	97.1	9872	162	11	10	0	59	48	34	128
0	2	cSpy was 26 spamed and the readout avoided!
0	3	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
0	3	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
0	3	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
0	4	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
0	4	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
0	4	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
0	5	G	40000	376	96.24	89.78	9624	986	18	0	0	956	4	8	974
0	5	A	40000	540	94.6	89.58	9460	502	7	0	0	489	3	3	497
0	5	B	40000	518	94.82	89.98	9482	484	11	0	0	467	1	5	477
0	6	G	40000	6	99.94	98.63	9994	146	10	0	0	48	67	21	127
0	6	A	40000	118	98.82	97.5	9882	132	10	0	0	47	61	14	117
0	6	B	40000	10	99.9	99.76	9990	14	0	0	0	1	6	7	10
0	7	G	40000	9874	1.26	0.64	126	124	0	0	0	124	0	0	126
0	7	A	40000	9874	1.26	0.64	126	62	0	0	0	62	0	0	63
0	7	B	40000	9874	1.26	0.64	126	62	0	0	0	62	0	0	63
1	0	G	40000	23	99.77	97.295	9977	288	18	0	0	147	85	38	253
1	0	A	40000	200	98	95.93	9800	207	13	0	0	133	55	6	200
1	0	B	40000	53	99.47	98.66	9947	81	5	0	0	14	30	32	53
1	1	G	40000	9891	1.09	0.43	109	130	0	0	0	127	3	0	132
1	1	A	40000	9892	1.08	0.43	108	65	0	0	0	63	2	0	66
1	1	B	40000	9892	1.08	0.43	108	65	0	0	0	64	1	0	66
1	2	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
1	2	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
1	2	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
1	3	G	40000	0	100	100	10000	20000	20000	20000	20000	20000	20000	20000	20002
1	3	A	40000	0	100	100	10000	10000	10000	10000	10000	10000	10000	10000	10001
1	3	B	40000	0	100	100	10000	10000	10000	10000	10000	10000	10000	10000	10001
1	4	G	40000	1396	86.04	81.27	8604	771	7	7	0	629	87	41	741
1	4	A	40000	1423	85.77	82.6	8577	317	0	0	0	289	11	17	305
1	4	B	40000	1552	84.48	79.94	8448	454	7	7	0	340	76	24	436
1	4	cSpy was 7 spamed and the readout avoided!
1	5	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
1	5	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
1	5	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
1	6	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
1	6	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
1	6	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
1	7	G	40000	7	99.93	98.995	9993	106	4	0	0	56	29	17	95
1	7	A	40000	16	99.84	99.66	9984	18	0	0	0	0	10	8	16
1	7	B	40000	79	99.21	98.33	9921	88	4	0	0	56	19	9	79
2	0	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
2	0	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
2	0	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
2	1	G	40000	9	99.91	99.32	9991	77	1	0	0	44	13	19	58
2	1	A	40000	12	99.88	99.59	9988	29	0	0	0	8	3	18	12
2	1	B	40000	47	99.53	99.05	9953	48	1	0	0	36	10	1	46
2	2	G	40000	51	99.49	97.485	9949	252	3	0	0	212	18	19	245
2	2	A	40000	125	98.75	97.52	9875	123	0	0	0	105	12	6	121
2	2	B	40000	126	98.74	97.45	9874	129	3	0	0	107	6	13	124
