#the gain was set to: 2	the bias was set to: 30	the tbmplldelay was set to: 0	the tbmadelay was set to: 0
#Sent triggers: 10	and with a frequency [Hz] of: 40000
#RocNr	ColAddr	RowAddr	PixelHight
1	4	29	58
2	4	29	63
3	4	29	76
4	4	29	47
5	4	29	62
6	4	29	74
7	4	29	81
8	4	29	95
7	4	29	0
8	4	29	71
9	4	29	65
10	4	29	61
11	4	29	65
12	4	29	60
13	4	29	45
14	4	29	63
1	4	29	58
2	4	29	65
3	4	29	72
4	4	29	56
5	4	29	56
6	4	29	73
7	4	29	75
8	4	29	90
7	4	29	0
8	4	29	73
9	4	29	63
10	4	29	66
11	4	29	65
12	4	29	60
13	4	29	47
14	4	29	63
1	4	29	54
2	4	29	61
3	4	29	78
4	4	29	47
5	4	29	57
6	4	29	73
7	4	29	79
8	4	29	89
7	4	29	0
8	4	29	73
9	4	29	63
10	4	29	65
11	4	29	63
12	4	29	51
13	4	29	45
14	4	29	61
1	4	29	54
2	4	29	58
3	4	29	76
4	4	29	47
5	4	29	53
6	4	29	72
7	4	29	74
8	4	29	95
7	4	29	0
8	4	29	72
9	4	29	65
10	4	29	61
11	4	29	67
12	4	29	53
13	4	29	47
14	4	29	61
1	4	29	60
2	4	29	62
3	4	29	76
4	4	29	49
5	4	29	58
6	4	29	73
7	4	29	77
8	4	29	94
7	4	29	0
8	4	29	69
9	4	29	63
10	4	29	56
11	4	29	65
12	4	29	53
13	4	29	45
14	4	29	59
1	4	29	54
2	4	29	61
3	4	29	79
4	4	29	53
5	4	29	61
6	4	29	70
7	4	29	78
8	4	29	95
7	4	29	0
8	4	29	69
9	4	29	63
10	4	29	65
11	4	29	64
12	4	29	52
13	4	29	46
14	4	29	59
1	4	29	56
2	4	29	63
3	4	29	79
4	4	29	55
5	4	29	58
6	4	29	77
7	4	29	79
8	4	29	95
7	4	29	0
8	4	29	73
9	4	29	63
10	4	29	62
11	4	29	64
12	4	29	58
13	4	29	47
14	4	29	62
1	4	29	56
2	4	29	62
3	4	29	77
4	4	29	53
5	4	29	58
6	4	29	68
7	4	29	79
8	4	29	87
7	4	29	0
8	4	29	69
9	4	29	61
10	4	29	57
11	4	29	62
12	4	29	57
13	4	29	41
14	4	29	60
1	4	29	54
2	4	29	63
3	4	29	74
4	4	29	52
5	4	29	60
6	4	29	73
7	4	29	78
8	4	29	94
7	4	29	0
8	4	29	69
9	4	29	63
10	4	29	60
11	4	29	63
12	4	29	56
13	4	29	50
14	4	29	62
1	4	29	56
2	4	29	62
3	4	29	74
4	4	29	52
5	4	29	56
6	4	29	74
7	4	29	82
8	4	29	89
7	4	29	0
8	4	29	73
9	4	29	58
10	4	29	62
11	4	29	66
12	4	29	56
13	4	29	47
14	4	29	61
1	4	29	60
2	4	29	62
3	4	29	76
4	4	29	47
5	4	29	58
6	4	29	77
7	4	29	79
8	4	29	90
7	4	29	0
8	4	29	69
9	4	29	63
10	4	29	61
11	4	29	65
12	4	29	61
13	4	29	45
14	4	29	61
1	4	29	58
2	4	29	63
3	4	29	78
4	4	29	47
5	4	29	56
6	4	29	72
7	4	29	79
8	4	29	93
7	4	29	0
8	4	29	69
9	4	29	63
10	4	29	57
11	4	29	63
12	4	29	56
13	4	29	47
14	4	29	63
1	4	29	56
2	4	29	63
3	4	29	75
4	4	29	47
5	4	29	53
6	4	29	76
7	4	29	76
8	4	29	94
7	4	29	0
8	4	29	69
9	4	29	61
10	4	29	59
11	4	29	63
12	4	29	53
13	4	29	44
14	4	29	61
1	4	29	56
2	4	29	63
3	4	29	77
4	4	29	53
5	4	29	62
6	4	29	74
7	4	29	79
8	4	29	95
7	4	29	0
8	4	29	66
9	4	29	63
10	4	29	59
11	4	29	63
12	4	29	53
13	4	29	46
14	4	29	60
1	4	29	60
2	4	29	60
3	4	29	72
4	4	29	53
5	4	29	62
6	4	29	69
7	4	29	79
8	4	29	95
7	4	29	0
8	4	29	72
9	4	29	63
10	4	29	61
11	4	29	63
12	4	29	53
13	4	29	47
14	4	29	61
1	4	29	58
2	4	29	63
3	4	29	77
4	4	29	53
5	4	29	58
6	4	29	74
7	4	29	79
8	4	29	93
7	4	29	0
8	4	29	73
9	4	29	62
10	4	29	57
11	4	29	66
12	4	29	52
13	4	29	44
14	4	29	62
1	4	29	52
2	4	29	63
3	4	29	74
4	4	29	57
5	4	29	58
6	4	29	76
7	4	29	76
8	4	29	86
7	4	29	0
8	4	29	66
9	4	29	63
10	4	29	62
11	4	29	65
12	4	29	58
13	4	29	45
14	4	29	62
1	4	29	58
2	4	29	58
3	4	29	78
4	4	29	49
5	4	29	53
6	4	29	66
7	4	29	79
8	4	29	93
7	4	29	0
8	4	29	72
9	4	29	61
10	4	29	57
11	4	29	62
12	4	29	54
13	4	29	47
14	4	29	62
1	4	29	56
2	4	29	63
3	4	29	77
4	4	29	56
5	4	29	54
6	4	29	69
7	4	29	79
8	4	29	91
7	4	29	0
8	4	29	65
9	4	29	63
10	4	29	62
11	4	29	69
12	4	29	56
13	4	29	47
14	4	29	63
1	4	29	58
2	4	29	63
3	4	29	73
4	4	29	50
5	4	29	52
6	4	29	68
7	4	29	76
8	4	29	94
7	4	29	0
8	4	29	72
9	4	29	62
10	4	29	56
11	4	29	64
12	4	29	53
13	4	29	47
14	4	29	63
1	4	29	56
2	4	29	63
3	4	29	73
4	4	29	55
5	4	29	49
6	4	29	70
7	4	29	79
8	4	29	89
7	4	29	0
8	4	29	69
9	4	29	60
10	4	29	60
11	4	29	63
12	4	29	56
13	4	29	45
14	4	29	61
1	4	29	56
2	4	29	61
3	4	29	77
4	4	29	52
5	4	29	56
6	4	29	69
7	4	29	75
8	4	29	93
7	4	29	0
8	4	29	69
9	4	29	62
10	4	29	63
11	4	29	61
12	4	29	53
13	4	29	47
14	4	29	60
1	4	29	56
2	4	29	63
3	4	29	78
4	4	29	56
5	4	29	51
6	4	29	77
7	4	29	77
8	4	29	89
7	4	29	0
8	4	29	69
9	4	29	63
10	4	29	63
11	4	29	63
12	4	29	53
13	4	29	45
14	4	29	56
1	4	29	58
2	4	29	60
3	4	29	78
4	4	29	53
5	4	29	63
6	4	29	77
7	4	29	78
8	4	29	95
7	4	29	0
8	4	29	69
9	4	29	65
10	4	29	65
11	4	29	63
12	4	29	58
13	4	29	47
14	4	29	62
1	4	29	58
2	4	29	61
3	4	29	74
4	4	29	53
5	4	29	61
6	4	29	73
7	4	29	76
8	4	29	90
7	4	29	0
8	4	29	65
9	4	29	63
10	4	29	57
11	4	29	62
12	4	29	53
13	4	29	47
14	4	29	61
1	4	29	58
2	4	29	63
3	4	29	76
4	4	29	49
5	4	29	56
6	4	29	77
7	4	29	79
8	4	29	92
7	4	29	0
8	4	29	76
9	4	29	65
10	4	29	61
11	4	29	63
12	4	29	57
13	4	29	47
14	4	29	61
1	4	29	52
2	4	29	63
3	4	29	73
4	4	29	51
5	4	29	58
