#the gain was set to: 2	the bias was set to: 30
#Sent triggers per delay setting: 186a0	and with a frequency [Hz] of: 40000
#160MHz delay setting	400MHz delay setting	Frequency	correct transmitted H+T		error rate [%]	uncertainty [%]	bad or missed events	error count	missing headers	missing trailers	flipped H/T	event nr errors	tbm missed trigger	unknown errors	event nr resets
0	0	G	40000	739	99.261	95.59	99261	4490	202	3	0	3743	416	126	4278
0	0	A	40000	1662	98.338	96.578	98338	1760	73	0	0	1491	96	100	1631
0	0	B	40000	2668	97.332	94.602	97332	2730	129	3	0	2252	320	26	2647
0	0	cSpy was 11 spamed and the readout avoided!
0	1	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
0	1	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
0	1	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
0	2	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
0	2	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
0	2	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
0	3	G	40000	36425	63.575	37.6785	63575	51272	5	0	0	51165	14	88	51212
0	3	A	40000	36672	63.328	37.679	63328	25649	5	0	0	25549	7	88	25588
0	3	B	40000	36699	63.301	37.678	63301	25623	0	0	0	25616	7	0	25624
0	3	cSpy was 9 spamed and the readout avoided!
0	4	G	40000	13319	86.681	73.207	86681	20464	215	0	0	16471	3347	431	20075
0	4	A	40000	16434	83.566	73.408	83566	10158	118	0	0	7941	1747	352	9870
0	4	B	40000	16688	83.312	73.006	83312	10306	97	0	0	8530	1600	79	10205
0	4	cSpy was 30 spamed and the readout avoided!
0	5	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
0	5	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
0	5	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
0	6	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
0	6	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
0	6	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
0	7	G	40000	86712	13.288	5.346	13288	15805	0	0	0	15782	0	23	15807
0	7	A	40000	86750	13.25	5.349	13250	7901	0	0	0	7878	0	23	7902
0	7	B	40000	86753	13.247	5.343	13247	7904	0	0	0	7904	0	0	7905
1	0	G	40000	197	99.803	55.2725	99803	9897	6	0	0	9773	65	53	9857
1	0	A	40000	213	99.787	99.535	99787	252	5	0	0	193	2	52	211
1	0	B	40000	79345	20.655	11.01	20655	9645	1	0	0	9580	63	1	9646
1	1	G	40000	36920	63.08	47.2915	63080	23684	28	1	0	23001	247	407	23503
1	1	A	40000	40950	59.05	47.019	59050	12031	24	1	0	11480	127	399	11856
1	1	B	40000	40783	59.217	47.564	59217	11653	4	0	0	11521	120	8	11647
1	1	cSpy was 8 spamed and the readout avoided!
1	2	G	40000	0	100	100	100000	200000	200000	200000	200000	200000	200000	200000	200002
1	2	A	40000	0	100	100	100000	100000	100000	100000	100000	100000	100000	100000	100001
1	2	B	40000	0	100	100	100000	100000	100000	100000	100000	100000	100000	100000	100001
1	3	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
1	3	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
1	3	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
1	4	G	40000	100000	0	0	0	0	0	0	0	0	0	0	2
1	4	A	40000	100000	0	0	0	0	0	0	0	0	0	0	1
1	4	B	40000	100000	0	0	0	0	0	0	0	0	0	0	1
1	5	G	40000	75247	24.753	13.227	24753	19954	0	0	0	19814	26	114	19933
1	5	A	40000	76836	23.164	13.129	23164	10035	0	0	0	9910	13	112	10013
1	5	B	40000	76756	23.244	13.325	23244	9919	0	0	0	9904	13	2	9920
1	6	G	40000	0	100	100	100000	200000	200000	200000	200000	200000	200000	200000	200002
1	6	A	40000	0	100	100	100000	100000	100000	100000	100000	100000	100000	100000	100001
1	6	B	40000	0	100	100	100000	100000	100000	100000	100000	100000	100000	100000	100001
1	7	G	40000	48703	51.297	34.693	51297	23023	256	81	1	21259	1317	110	22884
1	7	A	40000	50656	49.344	38.515	49344	10829	241	65	1	9865	564	94	10710
1	7	B	40000	56935	43.065	30.871	43065	12194	15	16	0	11394	753	16	12174
1	7	cSpy was 29 spamed and the readout avoided!
2	0	G	40000	217	99.783	98.1545	99783	2048	130	0	0	1246	223	449	1627
2	0	A	40000	621	99.379	98.519	99379	860	32	0	0	492	56	280	611
2	0	B	40000	1022	98.978	97.79	98978	1188	98	0	0	754	167	169	1016
