#the gain was set to: 2	the bias was set to: 30
#Sent triggers per delay setting: 10000	and with a frequency [Hz] of: 40000
#160MHz delay setting	400MHz delay setting	Frequency	correct transmitted H+T		error rate [%]	uncertainty [%]	bad or missed events	error count	missing headers	missing trailers	flipped H/T	event nr errors	tbm missed trigger	unknown errors	event nr resets
0	0	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
0	0	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
0	0	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
0	1	G	40000	6	99.94	98.48	9994	165	11	0	0	94	31	29	139
0	1	A	40000	121	98.79	97.39	9879	140	11	0	0	79	29	21	121
0	1	B	40000	18	99.82	99.57	9982	25	0	0	0	15	2	8	18
0	1	cSpy was 16 spamed and the readout avoided!
0	2	G	40000	9538	4.62	1.95	462	534	0	0	0	534	0	0	536
0	2	A	40000	9538	4.62	1.95	462	267	0	0	0	267	0	0	268
0	2	B	40000	9538	4.62	1.95	462	267	0	0	0	267	0	0	268
0	3	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
0	3	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
0	3	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
0	4	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
0	4	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
0	4	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
0	5	G	40000	12	99.88	98.865	9988	121	4	3	0	72	25	17	106
0	5	A	40000	78	99.22	98.32	9922	90	4	3	0	54	16	13	78
0	5	B	40000	28	99.72	99.41	9972	31	0	0	0	18	9	4	28
0	5	cSpy was 73 spamed and the readout avoided!
0	6	G	40000	12	99.88	98.115	9988	218	16	3	1	78	45	75	159
0	6	A	40000	24	99.76	99.27	9976	49	0	0	0	13	5	31	24
0	6	B	40000	135	98.65	96.96	9865	169	16	3	1	65	40	44	135
0	6	cSpy was 26 spamed and the readout avoided!
0	7	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
0	7	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
0	7	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
1	0	G	40000	9401	5.99	2.485	599	678	0	0	0	666	12	0	680
1	0	A	40000	9413	5.87	2.48	587	339	0	0	0	327	12	0	340
1	0	B	40000	9412	5.88	2.49	588	339	0	0	0	339	0	0	340
1	1	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
1	1	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
1	1	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
1	2	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
1	2	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
1	2	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
1	3	G	40000	20	99.8	98.325	9980	187	5	0	0	82	47	53	147
1	3	A	40000	59	99.41	98.47	9941	94	2	0	0	40	7	45	59
1	3	B	40000	89	99.11	98.18	9911	93	3	0	0	42	40	8	88
1	4	G	40000	5775	42.25	18.895	4225	4065	0	0	0	3929	130	6	4065
1	4	A	40000	6077	39.23	18.88	3923	2035	0	0	0	1954	78	3	2035
1	4	B	40000	6079	39.21	18.91	3921	2030	0	0	0	1975	52	3	2030
1	5	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
1	5	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
1	5	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
1	6	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
1	6	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
1	6	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
1	7	G	40000	2370	76.3	51.845	7630	3361	3	0	0	3301	56	1	3361
1	7	A	40000	3194	68.06	51.01	6806	1705	1	0	0	1673	30	1	1705
1	7	B	40000	3076	69.24	52.68	6924	1656	2	0	0	1628	26	0	1656
2	0	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
2	0	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
2	0	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
2	1	G	40000	10000	0	0	0	0	0	0	0	0	0	0	2
2	1	A	40000	10000	0	0	0	0	0	0	0	0	0	0	1
2	1	B	40000	10000	0	0	0	0	0	0	0	0	0	0	1
2	2	G	40000	22	99.78	97.78	9978	258	13	5	0	88	71	79	186
2	2	A	40000	97	99.03	97.72	9903	131	7	4	0	63	24	33	97
2	2	B	40000	89	99.11	97.84	9911	127	6	1	0	25	47	46	89
2	2	cSpy was 25 spamed and the readout avoided!
